last_name, first_name,player_id,year,p_k_percent,p_bb_percent,p_win,p_loss,groundballs_percent,flyballs_percent,ff_avg_spin,n_fastball_formatted,fastball_avg_spin,fastball_avg_break_x,n_breaking_formatted,breaking_avg_spin,
Vasquez, Andrew,607755,2022,25.6,10.3,0,0,50,18.2,,28.8,2207,15.5,71.2,2564,
Estevez, Carlos,608032,2022,23.0,9.8,4,4,36.3,28.7,2241,70.6,2241,-10,14.9,2280,
De Jong, Chase,608328,2022,20.1,10.2,6,3,33.3,34.3,2412,46.8,2412,-1.2,52.1,2485,
Fried, Max,608331,2022,23.2,4.4,14,7,51.2,21.6,2137,45.8,2108,4.4,40.2,2583,
Giolito, Lucas,608337,2022,25.4,8.7,11,9,39,28.7,2172,47.7,2172,-5.4,26.8,2006,
Irvin, Cole,608344,2022,17.3,4.9,9,13,37.5,30,1975,60.9,1965,11.2,20.8,2073,
Knebel, Corey,608349,2022,21.1,14.4,3,5,39,27.6,2369,69.8,2369,-3.8,30.2,2803,
Sims, Lucas,608371,2022,16.1,19.4,1,0,52.6,21.1,2491,42.6,2491,-9.4,57.4,2835,
Wacha, Michael,608379,2022,20.2,6.0,11,2,41.2,22.3,2122,62.8,2089,-5.6,7.4,2173,
Marquez, German,608566,2022,19.3,8.1,9,13,48.6,24.7,2138,54,2126,-11.3,42.9,2486,
Chargois, JT,608638,2022,19.8,5.8,2,0,59.7,21,2260,61.7,2230,-18.6,38.3,2550,
Duffey, Tyler,608648,2022,21.1,8.1,2,4,45.4,20.8,2276,52.4,2311,-7.1,43,2463,
Farrell, Luke,608652,2022,20.0,10.0,0,0,30.6,28.6,2327,48.4,2327,-3.7,48.8,2531,
Graveman, Kendall,608665,2022,23.2,9.1,3,4,54.2,18.4,2373,54.9,2260,-14.1,31.4,2494,
Leone, Dominic,608678,2022,23.4,10.8,4,5,40.4,26.7,2323,64.3,2357,-2.1,35.7,2453,
Steckenrider, Drew,608716,2022,14.7,7.4,0,2,32.1,22.6,2300,65,2300,-8.2,11.5,2092,
Stratton, Chris,608717,2022,21.5,9.0,10,4,44.3,24.5,2631,44.9,2626,-4,48.1,3061,
Suter, Brent,608718,2022,19.5,8.1,5,3,45.4,25.8,2147,70.7,2142,-2.6,4.3,2305,
Voth, Austin,608723,2022,20.4,7.0,5,4,34.4,28.7,2357,62.9,2386,-3.8,36.3,2944,
Castro, Miguel,612434,2022,23.7,11.5,5,0,47.5,21.3,,36.5,2128,-17.4,44.5,2821,
Ruiz, Jose,614179,2022,25.7,12.5,1,0,42.7,28,2354,47.9,2353,-7.1,29.4,2283,
Quantrill, Cal,615698,2022,16.6,6.1,15,5,42.4,25.5,2165,83.9,2164,-5.6,4.2,2449,
Sawamura, Hirokazu,617228,2022,18.1,12.2,1,1,50.6,18.2,2112,48.8,2112,-8.8,13.7,2298,
Cuas, Jose,621016,2022,18.9,13.3,4,2,50,16.4,,62,2460,-16.9,36.8,2669,
Wilson, Steven,621051,2022,24.8,9.3,4,2,23.9,34.8,2366,52.2,2366,-8,42.2,2673,
Rucker, Michael,621074,2022,21.8,8.7,3,1,44.7,28.9,2270,44.1,2270,-7.5,47.4,2483,
Kaprielian, James,621076,2022,17.0,10.2,5,9,38.3,30.8,2006,54.4,1998,-8.4,35.6,2360,
Wiles, Collin,621079,2022,22.0,4.9,0,0,55.2,13.8,2073,74.7,2153,-3,22.1,2420,
Lemoine, Jake,621082,2022,17.6,9.5,0,0,40.7,40.7,2108,67.8,2076,-15.9,24.8,2242,
Eflin, Zach,621107,2022,20.8,4.8,3,5,45.6,28.1,2176,70.2,2098,-12.1,23.7,2343,
Buehler, Walker,621111,2022,21.2,6.2,6,3,48.2,20.3,2267,63.7,2316,-2.4,28.5,2666,
Blackburn, Paul,621112,2022,19.1,6.4,7,6,47.5,23.6,2135,65.1,2169,-5.9,22.2,2597,
Burr, Ryan,621114,2022,17.9,10.3,1,1,50,25,2032,94,2184,0.6,6,2604,
McCullers Jr., Lance,621121,2022,25.6,11.3,4,2,50.4,24.4,,32.3,2216,-9.2,50.3,2934,
Mills, Alec,621219,2022,13.1,3.6,0,1,34.3,29.9,2193,59.9,2185,-13.5,21.5,2467,
Alvarado, Jose,621237,2022,37.9,11.2,4,2,57.4,16.7,2149,98.8,2143,6.3,1.2,2465,
Diaz, Edwin,621242,2022,50.2,7.7,3,1,47.4,24.7,2352,41.9,2352,-13.5,58.1,2274,
Berrios, Jose,621244,2022,19.8,6.0,12,7,40.7,27.1,2241,53.7,2180,-13.5,30.9,2285,
Garza Jr., Ralph,621248,2022,11.1,10.5,2,2,43.2,18.6,2248,55.8,2197,-11.6,25.3,2379,
Underwood Jr., Duane,621249,2022,22.0,9.7,1,6,50.6,19.2,2254,64.8,2122,-6.9,13.3,2403,
Wittgren, Nick,621295,2022,12.7,7.5,1,0,43.7,24.3,2037,66.1,2108,-6.8,10.8,2324,
Minter, A.J.,621345,2022,34.7,5.5,5,4,39.6,27,2425,81.9,2495,1.9,,,
Clay, Sam,621348,2022,17.2,13.8,0,0,87.5,6.3,,71,2019,14.9,19,2583,
Poche, Colin,621363,2022,26.1,9.0,4,2,32.3,26.6,2230,77.5,2230,0.9,22.5,2558,
Borucki, Ryan,621366,2022,18.9,9.9,2,0,50.6,28.6,,50.4,2190,18.2,38.6,2357,
Hearn, Taylor,621368,2022,21.6,9.6,6,8,38.6,25.8,2321,64.4,2292,9.1,26.9,2125,
Strahm, Matt,621381,2022,26.9,8.8,4,4,38.7,27.7,2298,52.9,2289,14.6,38,2516,
Banks, Tanner,621383,2022,22.6,8.3,2,0,46.3,22.1,2270,44.9,2270,1.9,35.1,2316,
Blach, Ty,621389,2022,15.0,5.7,1,0,43,31.1,,71.8,2226,10.9,8.6,2387,
Castro, Anthony,621593,2022,18.5,15.4,0,0,51.2,20.9,2414,49.2,2392,-5.4,48.5,2593,
Young, Alex,622065,2022,18.1,9.5,1,1,54.2,18.1,2283,30.3,2322,12.9,36.4,2296,
Wood, Alex,622072,2022,23.6,5.4,8,12,49.2,22.8,,45.5,2041,15.6,36,2067,
Almonte, Yency,622075,2022,24.4,7.4,0,0,50,20.5,2163,45.5,2140,-15.5,47.9,2464,
Smith, Drew,622098,2022,28.3,8.0,3,3,34.5,35.3,2503,52.6,2503,-7,41.9,2811,
Sborz, Josh,622250,2022,32.0,11.0,1,0,29.8,33.3,2337,51.8,2337,-6.2,48.2,2178,
Staumont, Josh,622251,2022,24.4,16.5,3,3,29.1,31.1,2258,65.1,2244,-4.1,34.9,2690,
Tate, Dillon,622253,2022,20.5,5.5,4,4,58.9,19.1,1901,51.3,1969,-17.1,25,2437,
Castillo, Luis,622491,2022,27.2,7.3,8,6,48,20.8,2354,56.7,2274,-14.1,21.1,2422,
Crismatt, Nabil,622503,2022,23.2,7.9,5,2,50.3,18.8,2154,29.1,2144,-9.1,20.8,2224,
Dominguez, Seranthony,622554,2022,29.5,10.6,6,5,47.2,24.4,2357,70.6,2338,-8.7,24.7,2441,
Senzatela, Antonio,622608,2022,13.1,5.6,3,7,50.8,16.5,2132,59,2129,-4,33.5,2121,
Severino, Luis,622663,2022,27.7,7.4,7,3,45.2,25.9,2257,56.5,2277,-6.1,21.1,2678,
Hernandez, Elieser,622694,2022,21.6,7.9,3,6,28.6,35.4,2094,50.4,2092,-7.4,36.1,2103,
Tinoco, Jesus,622786,2022,21.4,11.9,0,0,36.4,34.5,2315,48,2347,-15.4,51.1,2378,
Sewald, Paul,623149,2022,29.8,7.0,5,4,32.2,32.2,2494,51.4,2494,-11.9,48.6,2422,
Flexen, Chris,623167,2022,16.1,8.6,8,9,35.1,32.6,2132,72,2233,1.7,11.9,2573,
Brazoban, Huascar,623211,2022,28.4,14.9,1,1,50,29.5,2231,74.8,2309,-5.9,,,
Hader, Josh,623352,2022,37.0,9.6,2,5,31,31.9,,69.5,2008,8.5,28.3,2460,
Topa, Justin,623437,2022,11.4,11.4,0,0,74.1,11.1,,68.8,2160,-17.5,27.2,2668,
Stephens, Jackson,623451,2022,20.0,9.8,3,3,47.5,16,2062,58.1,2003,-9.4,32.3,2918,
Phillips, Evan,623465,2022,33.0,6.4,7,3,46.4,20.3,2316,55.8,2313,-4,44.2,2535,
Herget, Jimmy,623474,2022,23.7,5.6,2,1,42.7,23.2,2236,31.5,2249,-17.7,61,2663,
Goudeau, Ashton,623485,2022,17.0,10.6,1,0,36.8,30.9,2066,54.9,2066,-6.5,28,2301,
Suarez, Ranger,624133,2022,19.5,8.8,10,7,56,18.4,1894,67,1918,11.3,11.6,2190,
Gordon, Nick,624503,2022,0.0,16.0,0,0,14.3,38.1,,,,,,,
Thompson, Keegan,624522,2022,22.3,8.9,10,5,40.9,28.3,2370,73.4,2420,-2.2,21.8,2608,
Lopez, Reynaldo,625643,2022,24.8,4.3,6,4,41,23.6,2249,55,2249,-7.2,40.2,2313,
Iglesias, Raisel,628452,2022,31.7,5.7,2,6,35.8,33.1,2319,49.9,2319,-12.5,26,2561,
Marte, Yunior,628708,2022,20.6,10.3,1,1,50,20.4,2412,61.9,2363,-15.4,38,2601,
Urias, Julio,628711,2022,24.1,6.0,17,7,40,28.5,2521,49.2,2521,3,33.3,2914,
Chirinos, Yonny,630023,2022,20.0,3.3,1,0,77.3,13.6,2240,59,2119,-17.5,24,2331,
Crowe, Wil,640444,2022,20.5,11.4,6,10,51.1,22.9,2478,37.6,2358,-8,34.3,2751,
Finnegan, Kyle,640448,2022,26.1,8.2,6,4,48.9,21,,78.8,2069,-11.6,12.2,2145,
Harvey, Hunter,640451,2022,28.7,7.6,2,1,39,34,2029,77.9,2029,-9.1,7.1,2019,
Manaea, Sean,640455,2022,23.2,7.5,8,9,38.7,30.7,,60.9,2005,13.2,14.6,2028,
Puk, A.J.,640462,2022,27.0,8.2,4,3,45,22.2,2285,61.8,2258,13.7,38.2,2230,
Alzolay, Adbert,640470,2022,36.5,3.8,2,1,40,23.3,2378,61.7,2377,-6.3,32.6,2591,
Lopez, Pablo,641154,2022,23.6,7.2,10,10,47.1,23.8,2197,56.6,2173,-4.8,8.1,2495,
Alexander, Tyler,641302,2022,14.3,5.9,4,11,37.4,27.9,2275,70.6,2264,5.1,10.9,2339,
Baker, Bryan,641329,2022,26.1,8.9,4,3,42.5,21.5,2335,82.6,2359,0.7,,,
Bickford, Phil,641360,2022,27.1,5.7,2,1,38.4,30.5,2361,68.1,2361,-4.8,31.9,2293,
Brentz, Jake,641394,2022,23.7,26.3,0,3,38.9,16.7,2236,61.9,2227,9.6,33.1,2233,
Brogdon, Connor,641401,2022,26.6,5.9,2,2,34.9,27,2294,56.8,2330,-4.7,,,
Castano, Daniel,641447,2022,12.8,5.8,1,3,48.8,20.8,2241,59.1,2335,1.9,28.1,2437,
Cortes Jr., Nestor,641482,2022,26.5,6.2,12,4,34.2,31.1,2270,76.7,2309,0.9,18.9,2519,
Danish, Tyler,641501,2022,18.5,6.9,3,1,48.8,22.4,1881,44,1816,-16.9,41.3,2409,
Dunning, Dane,641540,2022,20.4,9.2,4,8,52.8,21.3,2051,52,2039,-11.8,27.9,2081,
Foster, Matt,641582,2022,21.8,8.8,1,2,32.1,26.1,2243,52.6,2243,-5.7,37.6,2271,
Gott, Trevor,641627,2022,23.7,6.5,3,4,44.9,27.6,2201,88.6,2182,-7,10.4,2073,
Hatch, Thomas,641672,2022,15.4,7.7,0,1,52.6,21.1,,,,,,,
Hendrix, Ryan,641682,2022,23.7,15.8,0,0,52.4,19,2144,48.3,2119,-11.6,44.1,2377,
Hudson, Dakota,641712,2022,13.1,10.2,8,7,54.2,19.2,2162,55.6,2096,-9.5,40.3,2386,
Jefferies, Daulton,641726,2022,16.3,4.7,1,7,47,26.9,2119,66.4,2099,-11.4,13.6,2368,
Jimenez, Joe,641729,2022,33.3,5.6,3,2,33.3,31.2,2461,63.7,2461,-10.4,30.8,2226,
Keller, Brad,641745,2022,16.5,9.2,6,14,52.4,22.1,2409,58.9,2320,-2.7,36.1,2544,
Kinley, Tyler,641755,2022,27.0,6.0,1,1,39.4,24.2,2244,47.3,2245,-3.8,52.1,2424,
Kuhl, Chad,641771,2022,17.8,9.4,6,11,37.4,26.4,2218,44.7,2134,-14.1,48.1,2619,
Lauer, Eric,641778,2022,23.8,8.9,11,7,34.9,31.9,2290,63.3,2283,6.9,33.6,2339,
Littell, Zack,641793,2022,20.5,6.8,3,3,43.1,30.7,2132,50.7,2132,-6.2,37.1,2220,
Mahle, Tyler,641816,2022,25.0,8.5,6,8,36.4,34.6,2294,64.5,2314,-7.8,11.4,2496,
Mayza, Tim,641835,2022,22.8,6.2,8,1,58.8,14,2156,82.6,2032,17.1,17.4,2200,
McKay, David,641853,2022,9.4,12.5,0,0,44,40,,63.7,2020,-12.2,36.3,2691,
Middleton, Keynan,641871,2022,21.7,4.3,1,2,28,32,2363,50.6,2363,-7.5,32.4,2371,
Murphy, Patrick,641907,2022,11.8,23.5,0,0,59.1,27.3,2195,69,2197,-9,31,2173,
Ober, Bailey,641927,2022,22.5,4.8,2,3,29.4,31.9,2301,49.1,2301,-8.5,35.4,2197,
Pagan, Emilio,641941,2022,30.7,9.5,4,6,40.5,29.4,2517,70.9,2475,-2.4,4.4,2564,
Rogers, Josh,642028,2022,10.6,9.7,2,2,36.7,33.3,2100,54.9,2104,12.9,35.1,2208,
Speier, Gabe,642100,2022,18.2,6.5,0,1,46.6,25.9,2166,55.7,2040,13.9,40.9,2091,
Sulser, Cole,642121,2022,25.5,10.7,1,4,43.2,24.2,2235,49.6,2235,-7.6,11.6,2285,
Taylor, Blake,642130,2022,12.0,13.3,1,1,45.5,23.6,2347,74.1,2347,-2,25.9,2246,
Trivino, Lou,642152,2022,26.8,9.6,2,8,52.3,15.5,1992,63.2,2077,-10.8,26.1,2525,
VanMeter, Josh,642165,2022,0.0,7.4,0,0,36,32,,,,,,,
Widener, Taylor,642203,2022,17.1,6.1,0,1,31.7,31.7,2206,68.4,2203,-7.2,21.3,2267,
Williams, Devin,642207,2022,40.0,12.5,6,4,50.5,21.6,2268,41.9,2280,-10.6,,,
Yacabonis, Jimmy,642231,2022,28.8,13.7,1,1,25,27.5,,59.2,2239,-17.7,37.3,2788,
Yarbrough, Ryan,642232,2022,17.2,6.2,3,8,39.1,27.6,,49.1,1984,4.3,27,2168,
Soto, Gregory,642397,2022,22.8,12.9,2,11,48.8,22.2,2370,77.4,2371,14.5,21.6,2385,
Loaisiga, Jonathan,642528,2022,18.2,9.4,2,3,59.9,14.3,2428,64.8,2320,-16,20.2,2624,
Barria, Jaime,642545,2022,17.1,6.0,3,3,42.1,31.3,2272,39.3,2215,-8.4,47,2191,
Hernandez, Jonathan,642546,2022,20.6,13.0,2,3,61.6,15.1,2163,43.2,2237,-18.7,36.2,2520,
Peralta, Freddy,642547,2022,27.1,8.5,4,4,39.8,26.9,2352,54.9,2352,-8.8,34.7,2098,
Bautista, Felix,642585,2022,34.8,9.1,4,4,43.3,23.4,2341,61.3,2341,-7.3,12.3,2458,
Santana, Dennis,642701,2022,21.2,11.0,3,8,48.5,18.3,2510,46.2,2436,-16.9,40.5,2675,
Acevedo, Domingo,642758,2022,21.8,6.4,4,4,42,27.1,2118,43.3,2119,-13.7,34.6,2123,
Guerra, Javy,642770,2022,12.2,13.4,2,1,40,26.7,2366,70.6,2185,-16.6,29.4,2366,
Brault, Steven,643230,2022,20.5,12.8,0,0,44,36,2190,64.3,2063,12.8,31.2,2163,
Cimber, Adam,643256,2022,19.8,4.4,10,6,43.9,20.6,2172,64.7,2157,-11.5,35.3,2473,
Dunn, Justin,643290,2022,15.2,12.3,1,3,30.9,36.1,2228,49.6,2228,-8.2,45.4,2362,
Fry, Paul,643316,2022,23.0,14.8,0,0,62.9,8.6,2320,33.2,2320,4.6,50,2711,
Green, Chad,643338,2022,25.8,8.1,1,1,25,35,2410,63.5,2409,-4.6,35.3,2474,
Herget, Kevin,643361,2022,13.3,0.0,0,1,34.6,34.6,2142,62.2,2159,-2.8,0.9,2330,
Jax, Griffin,643377,2022,26.9,6.9,7,4,46,24.9,2391,33.7,2391,-8.6,52.6,2835,
Knight, Dusten,643400,2022,18.4,8.2,0,1,47.2,27.8,2198,52.6,2231,2.7,9.9,2217,
Leiter Jr., Mark,643410,2022,25.9,8.9,2,7,49.2,22,1948,55.6,1965,-6.9,21.8,2252,
Pruitt, Austin,643493,2022,17.0,4.0,0,1,46,31.3,2264,34.5,2264,-3.2,60.1,2671,
Rogers, Tyler,643511,2022,15.4,7.2,3,4,56.4,17.4,1935,53.9,1933,-1.8,46.1,2300,
Zeuch, T.J.,643615,2022,7.8,10.9,0,3,49,22.4,2172,59.6,2121,-11.4,27.6,2042,
Arano, Victor,644364,2022,23.5,6.4,1,1,52.8,21.3,2269,53.1,2149,-15.4,46.9,2511,
Severino, Anderson,644429,2022,26.5,11.8,0,0,57.9,15.8,1950,64.7,1963,8.1,24.8,2444,
Alcantara, Sandy,645261,2022,23.4,5.6,14,9,54.2,19.8,2200,50,2246,-14.8,22.3,2355,
Diaz, Jhonathan,646242,2022,16.7,15.2,1,1,51.1,22.2,2145,50,2139,14,33.9,2727,
Pop, Zach,647315,2022,15.9,2.5,4,0,57.1,15.9,,76.9,2069,-17,22.9,2406,
Ruiz, Norge,650204,2022,19.1,7.4,0,1,40.3,26.9,2250,44,2250,-1.9,38,2584,
Hernandez, Darwinzon,650382,2022,20.9,18.6,0,1,33.3,33.3,2358,61,2358,3.3,39,2653,
Garcia, Bryan,650530,2022,20.2,11.9,2,0,42.6,27.8,,49.2,2113,-11.9,23.7,2187,
Abreu, Bryan,650556,2022,35.5,10.5,4,0,47.7,17.7,2312,45.4,2313,-6.3,54.3,2799,
King, Michael,650633,2022,33.2,8.0,6,3,48.7,17.9,2433,59.9,2397,-13.2,30.5,2785,
Civale, Aaron,650644,2022,24.1,5.4,5,6,41.8,28.2,2354,65.5,2476,-0.9,30.9,2953,
Quijada, Jose,650671,2022,30.8,12.4,0,5,33,36.2,2206,84.9,2206,6,4.2,2525,
Cabrera, Genesis,650893,2022,16.5,10.3,4,2,44.9,20.3,2232,51.8,2223,9.9,30.6,2394,
Castillo, Diego,650895,2022,23.9,9.9,7,3,46.2,26.2,1968,36.7,1993,-16.5,63.3,2260,
Sanchez, Cristopher,650911,2022,19.8,9.6,2,2,54.5,20.7,,61,2061,17.8,18.9,1912,
Diplan, Marcos,650959,2022,29.6,18.5,0,0,42.9,14.3,2272,51.6,2272,-0.5,36.1,2578,
Rodriguez, Manuel,655889,2022,14.0,15.8,2,0,52.5,15,2311,64,2166,-11,34.5,2317,
Abreu, Albert,656061,2022,22.1,12.8,2,2,53.2,18.3,2164,60.7,2193,-13.9,29.3,2265,
Beeks, Jalen,656222,2022,28.0,8.8,2,3,46.2,23.1,2122,49.4,2125,4.9,1.3,2258,
Bielak, Brandon,656232,2022,22.2,7.4,0,0,51.4,37.1,2421,59.3,2338,-11,28.3,2340,
Bird, Jake,656234,2022,19.9,10.9,2,4,55.6,21.8,,82.8,2074,-7.5,15.2,2832,
Brigham, Jeff,656257,2022,27.7,9.9,0,1,22.2,36.5,2276,42.5,2276,-11.7,57.5,2831,
Burke, Brock,656271,2022,27.4,7.3,7,5,39.6,28.8,2280,66.8,2267,10.6,19.9,2158,
Carlton, Drew,656290,2022,21.9,0.0,0,0,48,40,2028,62.5,1959,-14.4,20,2258,
Cease, Dylan,656302,2022,30.4,10.4,14,8,39.4,30.3,2507,40.7,2507,-3.1,56.8,2800,
Coonrod, Sam,656322,2022,20.7,12.1,0,0,36.1,27.8,2231,65.3,2133,-13,24.2,2383,
Davidson, Tucker,656353,2022,13.6,14.4,2,7,44.8,24.4,2019,43,2015,3.7,52.5,2310,
Davis, Austin,656354,2022,24.2,12.5,2,1,34.6,29.6,2254,45.6,2247,10.6,38.4,2376,
Faedo, Alex,656412,2022,18.0,10.2,1,5,31.6,31.6,2180,51.8,2180,-11,35,2486,
Feyereisen, J.P.,656420,2022,29.1,5.8,4,0,33.9,41.1,2345,44.5,2345,-3.9,29.1,2715,
Flaherty, Jack,656427,2022,19.8,13.2,2,1,44.9,23.4,2279,57.6,2252,-3.9,41.7,2419,
Gilbert, Tyler,656457,2022,13.7,6.8,0,3,33.3,37.7,2098,75.7,2136,4.4,11.3,2497,
Gilbreath, Lucas,656458,2022,26.2,13.9,2,0,46.3,18.5,2371,73.2,2371,0.6,25.6,2392,
Ginkel, Kevin,656464,2022,24.2,8.9,1,1,50,22,2352,62,2352,-11.2,37.8,2169,
Griffin, Foster,656492,2022,12.5,15.6,0,0,50,9.1,2065,69.4,2159,-1.5,17.1,2203,
Hentges, Sam,656529,2022,29.4,7.8,3,2,62.9,15.2,2219,62.9,2192,10.8,37.1,2429,
Hoffman, Jeff,656546,2022,22.8,11.7,2,0,28.6,39.7,2457,52,2457,-10.7,23.7,2691,
Houck, Tanner,656557,2022,22.7,8.9,5,4,52.1,19.6,2137,53.2,2087,-13.8,40.8,2556,
Jackson, Andre,656578,2022,21.4,9.5,0,0,51.7,31,2192,36.5,2192,-9.7,9.6,2087,
Keller, Mitch,656605,2022,20.1,8.7,5,12,49.9,19.3,2422,55.5,2400,-10.3,38,2605,
Kopech, Michael,656629,2022,21.3,11.5,5,9,35.9,35.3,2529,61.8,2529,-9.9,37,2391,
Lange, Alex,656638,2022,30.3,11.4,7,4,55.6,20.9,2247,31.7,2224,-15.1,48.8,2186,
Logue, Zach,656657,2022,16.3,7.8,3,8,31.1,35.8,2011,70.6,2080,7.4,15.8,2425,
Martin, Brett,656685,2022,18.9,8.5,1,7,49.4,20.8,2149,45.3,2189,12.4,54.7,2236,
Martin, Corbin,656686,2022,20.8,11.9,0,1,29.4,29.4,2304,54.8,2304,-6.3,28.7,2389,
Megill, Trevor,656730,2022,25.0,8.7,4,3,44.2,22.5,2445,55.4,2446,-4.3,44.6,2755,
Megill, Tylor,656731,2022,25.5,6.5,4,2,42.2,28.1,2172,58.8,2174,-6.9,22.9,2303,
Montgomery, Jordan,656756,2022,21.8,5.0,9,6,47.9,22.2,2305,55.6,2252,13.2,22.2,2263,
Mushinski, Parker,656786,2022,26.7,10.0,0,0,50,27.8,2382,48.6,2485,-4.5,49.5,2625,
Nelson, Nick,656793,2022,22.5,11.8,3,2,39.1,25.4,1969,42.9,1969,-6.6,27.7,2260,
Newcomb, Sean,656794,2022,20.9,14.2,2,1,34.5,28.7,2350,88.4,2458,2.4,10.5,2808,
Norwood, James,656803,2022,25.9,10.6,1,0,31.5,29.6,2145,49.7,2146,-12.1,9.5,2031,
Ortiz, Luis,656814,2022,18.2,9.1,0,0,41.7,25,2085,49.2,2071,-13.2,40.7,2486,
Overton, Connor,656818,2022,11.3,8.9,1,0,42.4,23.2,2228,49,2173,-13.3,32.2,2425,
Peterson, David,656849,2022,27.8,10.6,7,5,49.8,17.9,2083,49.6,2085,10.8,34.1,2322,
Rasmussen, Drew,656876,2022,21.4,5.3,11,7,47.5,23.4,2396,72.2,2495,-1.1,27.8,2505,
Reid-Foley, Sean,656887,2022,18.2,15.9,0,0,42.9,32.1,2259,46.9,2259,-8.3,34.2,2224,
Scott, Tanner,656945,2022,31.1,15.9,4,5,46.3,17.4,2560,37.9,2560,5.3,62.1,2735,
Sheffield, Justus,656954,2022,13.7,11.8,1,0,59.5,21.6,1971,46.9,1976,12.6,35.2,2480,
Smeltzer, Devin,656970,2022,13.9,6.6,5,2,39.2,30.4,2278,49.7,2253,8.5,24.6,2550,
Sousa, Bennett,656986,2022,12.5,10.4,3,0,47.9,24.7,2055,42.5,2055,6.8,57.5,2141,
Steele, Justin,657006,2022,24.6,9.8,4,7,51.8,20.5,2489,64.5,2480,-0.3,33.7,2676,
Swanson, Erik,657024,2022,34.0,4.9,3,2,34.4,25.6,2291,54.8,2291,-10,19.8,2311,
Thompson, Ryan,657044,2022,21.5,6.1,3,3,51.2,20.9,2152,59.2,2019,-15.2,39.3,2147,
Toussaint, Touki,657053,2022,24.1,17.6,1,1,55.9,16.9,2243,46.9,2212,-14.4,32.9,2410,
Watkins, Spenser,657093,2022,13.7,6.5,5,6,42.5,24.9,2259,68.1,2336,1.4,27.4,2583,
Wright, Kyle,657140,2022,23.6,7.2,21,5,55.5,18.4,2385,43.3,2316,-14.3,41.2,2666,
Merryweather, Julian,657240,2022,19.3,5.9,0,3,49.4,21.8,2286,51.6,2286,-6.5,38.8,2347,
Otto Jr., Glenn,657248,2022,18.2,10.6,7,10,43.6,24,2265,49.4,2249,-9.3,42.5,2545,
Strzelecki, Peter,657265,2022,27.0,10.1,2,1,33.7,32.6,2416,53.2,2416,-11.5,33.2,2974,
Uelmen, Erich,657272,2022,17.2,9.8,2,1,48.2,19.3,2149,62,2082,-12.2,29.2,2419,
Webb, Logan,657277,2022,20.7,6.2,15,9,57.8,15.2,2069,36.2,1898,-14.3,32.7,2628,
Schmidt, Clarke,657376,2022,23.7,9.7,5,5,43.9,26.5,2523,39,2455,-10.4,56.1,2875,
Gage, Matt,657424,2022,24.0,12.0,0,1,51.6,25.8,2135,94.1,2164,-2.1,5.3,2126,
Baumann, Mike,657508,2022,15.4,6.0,1,3,50.4,20.9,2196,48.1,2196,-5.6,47.4,2276,
Ferguson, Caleb,657571,2022,26.1,12.0,1,0,41.9,23.3,2319,66.9,2319,6.2,33.1,3084,
Garrett, Reed,657585,2022,12.2,16.3,0,1,50,26.5,2280,91.8,2279,-6.1,,,
Hill, Tim,657612,2022,12.6,7.0,3,0,59,14.1,2211,90.9,2108,15.8,9.1,2008,
Koenig, Jared,657649,2022,12.4,8.5,1,3,49.6,21.5,2152,64.9,2138,6.8,22.1,2210,
Ryan, Joe,657746,2022,25.0,7.8,13,8,29.3,32.8,2194,60.1,2194,-10.7,27.8,2211,
Seabold, Connor,657756,2022,19.4,8.2,0,4,29.4,25,2113,53.2,2113,-11.7,26.2,2417,
Stout, Eric,657770,2022,22.7,14.5,0,0,34.8,34.8,2256,34.9,2256,9.3,52.9,2476,
Medina, Adonis,658431,2022,15.5,5.5,1,0,51.9,13.6,2353,47.8,2311,-11.8,35.5,2420,
Fernandez, Junior,658551,2022,16.7,14.3,0,0,62.5,16.1,2194,54.7,2090,-13.8,35.1,2120,
Espinoza, Anderson,659262,2022,22.4,18.8,0,2,43.5,26.1,1904,77.1,1904,-9.2,21.6,2148,
Lamet, Dinelson,659275,2022,30.2,12.8,1,2,35.8,30.9,2404,46,2403,-6.2,54,2410,
Ohtani, Shohei,660271,2022,33.2,6.7,15,9,41.9,26.6,2217,40.3,2239,-3,47.7,2490,
Reyes, Denyi,660593,2022,9.7,3.2,0,0,40.7,29.6,2122,43.6,2122,-7.1,41,2178,
Ynoa, Huascar,660623,2022,21.6,16.2,0,2,52.2,30.4,2007,53.1,2007,-9.2,36.1,2449,
Rodriguez, Elvin,660730,2022,17.5,10.5,0,4,36.3,32.4,2414,53.9,2413,-9,33.1,2455,
Suarez, Jose,660761,2022,22.3,7.1,8,8,41.3,28,2214,42.6,2177,10.6,33,2625,
De Los Santos, Yerry,660787,2022,23.2,9.8,0,3,53.4,23.3,2226,60.1,2197,-16.2,39.9,2185,
Graterol, Brusdar,660813,2022,21.8,5.1,2,4,63.8,17,2106,80.7,2149,-9.8,19.3,2529,
Bazardo, Eduard,660825,2022,16.9,6.2,1,0,39.6,29.2,2070,45.8,2080,-10.4,44.5,2577,
De Los Santos, Enyel,660853,2022,28.4,7.9,5,0,41.5,22.2,2251,60.5,2251,-11.8,28.4,2143,
Perez, Francisco,660906,2022,14.6,18.8,0,0,43.8,31.3,2066,62.9,2066,6.9,35.1,2436,
Lopez, Yoan,661255,2022,19.6,9.8,1,0,40,22.9,2156,45.6,2156,-5,48.2,2439,
